Version initiale,Version retraitée,Catégorie
"Cours de français langue professionnelle permettant d'apprendre le vocabulaire spécifique à un secteur d'activité, comprendre le monde du travail en France et les droits et devoirs du salarié","- Apprendre le vocabulaire professionnel et connaître les mots utiles d'un métier.
- Comprendre le monde du travail : explications sur les droits et devoirs du salarié.",Substitution
Permanence d'inscription,Inscription chaque mardi de 16h à 17h15 ,Explanation
"Permanence d'inscription tous les mardis de 16h à 17h15. Sans rendez vous, renseignements par mail : bernardbazin@example.net , par téléphone ou SMS : 0789.34.01.97","Une permanence d'inscriptions sans rendez-vous a lieu tous les mardis de 16h à 17h15 au 21 place Juliette Le Gall, appt 182 Les tilleuls, 52 200 LANGRES.",Explanation
Accompagnement vers l'emploi,Être aidé dans vos démarches et votre insertion professionnelle,Transposition
Accompagnement vers l'emploi,Être aidé dans vos démarches et votre insertion professionnelle,Modulation
Accompagnement vers l'emploi,Être aidé dans vos démarches et votre insertion professionnelle,Explanation
Le programme BOP 104 permet :,Un programme d'accompagnement personnalisé pour réussir votre intégration en France et être autonome avec :,Explanation
- De trouver un emploi ou une formation,- Des conseils adaptés pour trouver un emploi ou une formation,Explanation
- De progresser en français,- Des cours de français (vocabulaire du quotidien et professionnel),Explanation
- D'être accompagné dans son intégration en France,"- Des ateliers pour comprendre la société française, des sorties culturelles...",Explanation
Trouver un emploi ou une formation,Trouver un travail ou une formation,Substitution
"- Intérim, CDD, CDI et formations","- Rechercher une offre d'emploi (CDD, CDI, intérim) ou une formation.
- Préparer un CV, une lettre de motivation, un entretien d'embauche.",Explanation
"Logistique, l'industrie, le bâtiment/travaux publics, la restauration, les services. et autres secteurs !","Les métiers ou les formations possibles sont la logistique, l'industrie, le bâtiment/travaux publics, la restauration, les services et d’autres secteurs. Vous êtes rémunéré pendant la formation et recevez un salaire si vous travaillez.",Explanation
"Logistique, l'industrie, le bâtiment/travaux publics, la restauration, les services. et autres secteurs !","Les métiers ou les formations possibles sont la logistique, l'industrie, le bâtiment/travaux publics, la restauration, les services et d’autres secteurs. Vous êtes rémunéré pendant la formation et recevez un salaire si vous travaillez.",Transposition
- Selon votre projet professionnel,"- Répondre à des questions sur votre situation personnelle et professionnelle : logement, sécurité sociale, emploi, formation...
- Avoir des conseils personnalisés en fonction de votre situation",Explanation
Parler français,Progresser en français,Substitution
- Cours de français qui peuvent être rémunérés,"- Mieux communiquer en français à l'oral et à l'écrit.
- Renforcer votre vocabulaire : français du quotidien et du monde du travail.",Explanation
- Ateliers en groupe / binômes,- Ateliers en groupes et en binômes,Syntactic
- Applications pour progresser,- Utilisation d'applications mobiles et de sites internet pour pratiquer,Explanation
Avoir de l'aide sociale et administrative,Avoir de l’aide dans vos démarches administratives,Substitution
- Trouver un logement,- Trouver un logement,Transcription
- Avoir une visite chez le médecin ou un psychologue,- Prendre rendez-vous chez un médecin ou un psychologue,Substitution
- Avoir des aides financières,"- Avoir des aides financières : CAF, France Travail...",Explanation
- Ouvrir un compte bancaire,"- Ouvrir un compte bancaire, passer le permis de conduire, renouveler une carte de séjour...",Explanation
"- Accéder aux transports (bus, métro, permis...)","- Se déplacer et utiliser les transports : bus, métro...",Substitution
S'intégrer en France,Découvrir le fonctionnement de la société,Substitution
S'intégrer en France,Découvrir le fonctionnement de la société,Explanation
- Avoir les codes professionnels,"- Comprendre le monde du travail en France : codes sociaux, procédures, bulletin de salaire...",Explanation
- Comprendre les démarches administratives- ,"- Comprendre les démarches administratives : santé, logement, travail...",Explanation
"Le BOP 104 propose des ateliers pour comprendre la vie quotidienne et la culture française et s'intégrer.
- Faire du sport.
- Rencontrer d'autres personnes","- Faire du sport, participer à des sorties culturelles, à des ateliers de cuisine...",Omission
"Le BOP 104 propose des ateliers pour comprendre la vie quotidienne et la culture française et s'intégrer.
- Faire du sport.
- Rencontrer d'autres personnes","- Faire du sport, participer à des sorties culturelles, à des ateliers de cuisine...",Explanation
Contactez-moi !,Si vous avez des questions,Modulation
"Envoyez-moi Un mail :
lorraine12@example.com
+33 5 35 44 27 88","Vous pouvez envoyer un mail à
lorrainelambert@example.net ou appelez
le +33 5 35 44 27 88.",Modulation
"Envoyez-moi Un mail :
lorraine12@example.com
+33 5 35 44 27 88","Vous pouvez envoyer un mail à
lorrainelambert@example.net ou appelez
le +33 5 35 44 27 88.",Compression
Et ensuite... ,Les étapes pour s'inscrire,Substitution
- Premier rendez-vous : Je vous rencontre pour échanger de vos projets professionnels et vos besoins,"- Envoyez un mail ou appelez la référente de ce programme.
- Elle vous donnera un rendez-vous pour connaître votre parcours professionnel et vos besoins.",Modulation
- Premier rendez-vous : Je vous rencontre pour échanger de vos projets professionnels et vos besoins,"- Envoyez un mail ou appelez la référente de ce programme.
- Elle vous donnera un rendez-vous pour connaître votre parcours professionnel et vos besoins.",Explanation
Apprendre la langue française,Evaluer votre niveau et trouver un cours de français à Rennes,Explanation
Vous habitez Rennes ou Rennes Métropole.,Une évaluation individuelle ouverte aux habitants de Rennes et Rennes Métropole pour :,Explanation
Vous habitez Rennes ou Rennes Métropole.,Une évaluation individuelle ouverte aux habitants de Rennes et Rennes Métropole pour :,Syntactic
Vous souhaitez apprendre le français. Nous vous proposons un rendez-vous pour faire test de français.,"- Connaître votre niveau de français oral et écrit

Bon à savoir :
Le rendez-vous d'évaluation dure 40 minutes, avec un test de français et une conversation sur votre projet. ",Syntactic
Vous souhaitez apprendre le français. Nous vous proposons un rendez-vous pour faire test de français.,"- Connaître votre niveau de français oral et écrit

Bon à savoir :
Le rendez-vous d'évaluation dure 40 minutes, avec un test de français et une conversation sur votre projet. ",Explanation
"Ensuite, nous vous proposons un cours de français adapté à vos besoins dans l'une de nos structures partenaires.",- Vous aider à trouver un cours proche de votre domicile.,Syntactic
"Ensuite, nous vous proposons un cours de français adapté à vos besoins dans l'une de nos structures partenaires.",- Vous aider à trouver un cours proche de votre domicile.,Compression
Un cours adapté à vos besoins,Conseils pour trouver et choisir un cours de français adapté,Explanation
"Une évaluatrice compétente vous accueille et vous propose un cours adapté à vos besoins (disponibilité, objectif spécifique)","Aide pour trouver le cours adapté :
- à votre situation (cours en journée, le soir, le week-end)
- à vos besoins (progresser à l'écrit, apprendre le vocabulaire de la vie quotidienne ou professionnelle, passer un examen officiel : TCF, DELF..)
 - proche de chez vous ou de votre travail.",Explanation
"Une évaluatrice compétente vous accueille et vous propose un cours adapté à vos besoins (disponibilité, objectif spécifique)","Aide pour trouver le cours adapté :
- à votre situation (cours en journée, le soir, le week-end)
- à vos besoins (progresser à l'écrit, apprendre le vocabulaire de la vie quotidienne ou professionnelle, passer un examen officiel : TCF, DELF..)
 - proche de chez vous ou de votre travail.",Syntactic
Près de chez vous,Rendez-vous avec un professionnel près de chez vous,Explanation
"Nous vous rencontrons dans un des quartiers de la ville selon votre convenance : Adrien Pereira, Le Blosne, Centre","Un professeur de FLE (français langue étrangère) est disponible dans un des quartiers de Rennes (Maurepas, Le Blosne et Centre).",Substitution
Téléphoner le 1er lundi du mois,Inscription par téléphone le premier lundi du mois,Explanation
Téléphoner le 1er lundi du mois au 03 64 00 96 35. Une évaluatrice vous accueille et vous propose un rendez-vous pour un test de français. ,"Le premier lundi de chaque mois, appelez au 0321960604 pour prendre rendez-vous et faire l'évaluation de français.",Substitution
Apprendre le français,Apprendre le français,Transposition
Vous avez entre 18 et 25 ans? ,Vous avez entre 18 et 25 ans et vous avez signé le Contrat d'intégration républicaine (CIR) ? ,Explanation
Vous avez entre 18 et 25 ans? ,Vous avez entre 18 et 25 ans et vous avez signé le Contrat d'intégration républicaine (CIR) ? ,Synonymy
Vous voulez apprendre le français?,Vous voulez apprendre le français ? ,Transposition
Vous ne savez pas où et quoi chercher? ,Vous ne savez pas où et quoi chercher ? ,Transposition
Vous ne connaissez pas votre niveau de français?,Vous ne connaissez pas votre niveau de français ? ,Transposition
"Avec l'action ""Coordination linguistique 2024-2025"", la Mission Locale de Paris accompagne 120 bénéficiaires primo-arrivants signataires du CIR dans",La Mission Locale de Paris propose à 120 bénéficiaires du CIR un programme d'accompagnement personnalisé pour,Substitution
"Avec l'action ""Coordination linguistique 2024-2025"", la Mission Locale de Paris accompagne 120 bénéficiaires primo-arrivants signataires du CIR dans",La Mission Locale de Paris propose à 120 bénéficiaires du CIR un programme d'accompagnement personnalisé pour,Syntactic
"Avec l'action ""Coordination linguistique 2024-2025"", la Mission Locale de Paris accompagne 120 bénéficiaires primo-arrivants signataires du CIR dans",La Mission Locale de Paris propose à 120 bénéficiaires du CIR un programme d'accompagnement personnalisé pour,Omission
"l'apprentissage du français (test, recherche et orientation vers des cours de français adaptés à vos besoins).","- apprendre le français : test de niveau, recherche et orientation vers des cours adaptés à vos besoins",Syntactic
"En parallèle, votre conseiller.ère est présent pour vous aider dans vos démarches sociales et professionnelles.","- être aidé dans vos démarches sociales et professionnelles : emploi, logement...",Syntactic
"En parallèle, votre conseiller.ère est présent pour vous aider dans vos démarches sociales et professionnelles.","- être aidé dans vos démarches sociales et professionnelles : emploi, logement...",Explanation
"En parallèle, votre conseiller.ère est présent pour vous aider dans vos démarches sociales et professionnelles.","- être aidé dans vos démarches sociales et professionnelles : emploi, logement...",Transposition
Tester le niveau et être orienté vers la bonne formation,Tester votre niveau et être orienté vers la bonne formation,Modulation
"Pendant l'évaluation, nous testons votre niveau oral et écrit, nous parlons de votre parcours et vos attentes.","Vous allez connaître votre niveau de français : 
- Évaluation à l'écrit (écrire et lire un texte)
- Évaluation à l'oral (comprendre et parler)
- Parler de votre parcours et de vos
attentes.",Syntactic
"Pendant l'évaluation, nous testons votre niveau oral et écrit, nous parlons de votre parcours et vos attentes.","Vous allez connaître votre niveau de français : 
- Évaluation à l'écrit (écrire et lire un texte)
- Évaluation à l'oral (comprendre et parler)
- Parler de votre parcours et de vos
attentes.",Explanation
Pratiquer le français en continu,Pratiquer le français à l'oral et à l'écrit,Substitution
"Des ateliers conversationnels sont animés une à deux fois par
semaine par une équipe de bénévoles spécialisée dans l'accueil
du public primo-arrivant.",Vous participez à des ateliers collectifs une à deux fois par semaine avec une équipe de bénévoles spécialisée :,Substitution
"Des ateliers conversationnels sont animés une à deux fois par
semaine par une équipe de bénévoles spécialisée dans l'accueil
du public primo-arrivant.",Vous participez à des ateliers collectifs une à deux fois par semaine avec une équipe de bénévoles spécialisée :,Syntactic
"Des ateliers conversationnels sont animés une à deux fois par
semaine par une équipe de bénévoles spécialisée dans l'accueil
du public primo-arrivant.",Vous participez à des ateliers collectifs une à deux fois par semaine avec une équipe de bénévoles spécialisée :,Modulation
"Pendant ces ateliers, nous parlons de différents sujets de la vie de tous les jours. C'est Un moment pour pratiquer le français à l'oral et passer un moment convivial en groupe. 
",- Ateliers de conversation en français. Parler des sujets de la vie quotidienne Passer un bon moment en groupe,Syntactic
"Pendant ces ateliers, nous parlons de différents sujets de la vie de tous les jours. C'est Un moment pour pratiquer le français à l'oral et passer un moment convivial en groupe. 
",- Ateliers de conversation en français. Parler des sujets de la vie quotidienne Passer un bon moment en groupe,Substitution
De sorties culturelles sont aussi organisées ponctuellement dans les musées parisiens ou sous forme de balades urbaines.,- De sorties culturelles sont aussi organisées tout au long de l'année : visites de musées parisiens ou balades urbaines.,Syntactic
Accompagner l'insertion sociale et professionnelle,Être accompagné dans votre insertion,Modulation
Accompagner l'insertion sociale et professionnelle,Être accompagné dans votre insertion,Omission
"Après l'entrée en formation, vous êtes suivi.e en formation par le/la chargé de mission et par votre conseiller.ère pour les questions sociales et professionnelles. ","Un chargé de mission et un conseiller en insertion professionnelle vous aident dans toutes vos difficultés quotidiennes :
- administratif
- santé
- rechercher un travail ou une formation
- logement...",Syntactic
"Après l'entrée en formation, vous êtes suivi.e en formation par le/la chargé de mission et par votre conseiller.ère pour les questions sociales et professionnelles. ","Un chargé de mission et un conseiller en insertion professionnelle vous aident dans toutes vos difficultés quotidiennes :
- administratif
- santé
- rechercher un travail ou une formation
- logement...",Explanation
"Après l'entrée en formation, vous êtes suivi.e en formation par le/la chargé de mission et par votre conseiller.ère pour les questions sociales et professionnelles. ","Un chargé de mission et un conseiller en insertion professionnelle vous aident dans toutes vos difficultés quotidiennes :
- administratif
- santé
- rechercher un travail ou une formation
- logement...",Substitution
"Après votre formation, selon vos progrès et vos besoins, des cours complémentaires sont proposés ou vous travaillez directement sur votre projet professionnel.","Après la formation, en fonction de vos progrès et de vos besoins, il est possible de suivre d'autres cours de français ou de travailler sur votre projet professionnel.",Transposition
Inscrivez-vous à la Mission Locale de Paris,S'inscrire à la Mission Locale de Paris,Modulation
"L'inscription à la Mission Locale de Paris est nécessaire pour
bénéficier de l'action. L'accueil du public a lieu sur les 6 sites parisiens :","Vous pouvez venir vous inscrire sur l'un des sites de la Mission Locale de Paris (voir la carte ci-dessous pour les adresses et les horaires d'ouverture), selon l'arrondissement où vous habitez.",Explanation
"L'inscription à la Mission Locale de Paris est nécessaire pour
bénéficier de l'action. L'accueil du public a lieu sur les 6 sites parisiens :","Vous pouvez venir vous inscrire sur l'un des sites de la Mission Locale de Paris (voir la carte ci-dessous pour les adresses et les horaires d'ouverture), selon l'arrondissement où vous habitez.",Substitution
"L'inscription à la Mission Locale de Paris est nécessaire pour
bénéficier de l'action. L'accueil du public a lieu sur les 6 sites parisiens :","Vous pouvez venir vous inscrire sur l'un des sites de la Mission Locale de Paris (voir la carte ci-dessous pour les adresses et les horaires d'ouverture), selon l'arrondissement où vous habitez.",Modulation
"L'association Laurent Perrin propose aux migrants demandeurs d'asile ou ayant été déboutés des consultations qui peuvent relever d'un simple accompagnement psychique, d'une psychothérapie, d'un traitement spécialisé ou d'une association des deux.","L'association Laurent Perrin propose un accompagnement et un suivi psychologique aux personnes exilées victimes de tout type de traumatismes, violences ou menaces. L'écoute ou le soutien concerne tous les âges et tous les statuts administratifs : demandeurs d'asile, demandeurs d’'asiles déboutés (demande d'asile rejetée), bénéficiaires d’une protection internationale ou temporaire).",Syntactic
"L'association Laurent Perrin propose aux migrants demandeurs d'asile ou ayant été déboutés des consultations qui peuvent relever d'un simple accompagnement psychique, d'une psychothérapie, d'un traitement spécialisé ou d'une association des deux.","L'association Laurent Perrin propose un accompagnement et un suivi psychologique aux personnes exilées victimes de tout type de traumatismes, violences ou menaces. L'écoute ou le soutien concerne tous les âges et tous les statuts administratifs : demandeurs d'asile, demandeurs d’'asiles déboutés (demande d'asile rejetée), bénéficiaires d’une protection internationale ou temporaire).",Substitution
"L'association Laurent Perrin propose aux migrants demandeurs d'asile ou ayant été déboutés des consultations qui peuvent relever d'un simple accompagnement psychique, d'une psychothérapie, d'un traitement spécialisé ou d'une association des deux.","L'association Laurent Perrin propose un accompagnement et un suivi psychologique aux personnes exilées victimes de tout type de traumatismes, violences ou menaces. L'écoute ou le soutien concerne tous les âges et tous les statuts administratifs : demandeurs d'asile, demandeurs d’'asiles déboutés (demande d'asile rejetée), bénéficiaires d’une protection internationale ou temporaire).",Explanation
Procurer des soins spécialisés gratuits adaptés à l'état psychique des migrants.,"- Avoir une aide psychologique adaptée et gratuite
- Pouvoir parler de ses problèmes, être écouté et avoir des conseils individuels
- Avoir un suivi adapté à ses besoins : accompagnement psychologique, psychothérapie, traitement spécialisé ou les deux en même temps.",Syntactic
Procurer des soins spécialisés gratuits adaptés à l'état psychique des migrants.,"- Avoir une aide psychologique adaptée et gratuite
- Pouvoir parler de ses problèmes, être écouté et avoir des conseils individuels
- Avoir un suivi adapté à ses besoins : accompagnement psychologique, psychothérapie, traitement spécialisé ou les deux en même temps.",Explanation
Procurer des soins spécialisés gratuits adaptés à l'état psychique des migrants.,"- Avoir une aide psychologique adaptée et gratuite
- Pouvoir parler de ses problèmes, être écouté et avoir des conseils individuels
- Avoir un suivi adapté à ses besoins : accompagnement psychologique, psychothérapie, traitement spécialisé ou les deux en même temps.",Modulation
Favoriser leur adaptation et leur intégration.,L'objectif est de favoriser son intégration à la société et de construire de nouveaux repères.,Substitution
"En plus du soin recherché, l'association se propose par le biais des groupes thérapeutiques (communication inter-culturelle, contes pour les francophones, art-thérapie...) de favoriser l'adaptation et l'intégration des migrants.","Participer à des groupes thérapeutiques : découverte de nouvelles cultures, raconter son histoire, art thérapie...",Compression
"En plus du soin recherché, l'association se propose par le biais des groupes thérapeutiques (communication inter-culturelle, contes pour les francophones, art-thérapie...) de favoriser l'adaptation et l'intégration des migrants.","Participer à des groupes thérapeutiques : découverte de nouvelles cultures, raconter son histoire, art thérapie...",Modulation
Entretiens dans la langue du patient,Parler dans sa langue avec un interprète,Modulation
Entretiens dans la langue du patient,Parler dans sa langue avec un interprète,Explanation
L'écoute et les échanges thérapeutiques nécessitent d'être au plus près du vécu et des émotions des patients.,Prendre en compte le vécu et les émotions des personnes,Compression
L'écoute et les échanges thérapeutiques nécessitent d'être au plus près du vécu et des émotions des patients.,Prendre en compte le vécu et les émotions des personnes,Modulation
"C'est pourquoi les entretiens individuels se font dans sa langue maternelle par le biais d'une plateforme téléphonique d'interprètes (187 langues), y compris pour ceux qui sont théoriquement francophones mais dont le français n'est pour eux qu'une langue officielle administrative qu'ils maîtrisent souvent difficilement.",Entretiens individuels dans sa langue maternelle par téléphone : 187 langues disponibles avec une plateforme téléphonique dédiée.,Compression
"C'est pourquoi les entretiens individuels se font dans sa langue maternelle par le biais d'une plateforme téléphonique d'interprètes (187 langues), y compris pour ceux qui sont théoriquement francophones mais dont le français n'est pour eux qu'une langue officielle administrative qu'ils maîtrisent souvent difficilement.",Entretiens individuels dans sa langue maternelle par téléphone : 187 langues disponibles avec une plateforme téléphonique dédiée.,Syntactic
Accompagnement à l'intégration et aux éventuelles déceptions liées au refus d'asile,Réussir votre parcours d'intégration,Compression
Accompagnement à l'intégration et aux éventuelles déceptions liées au refus d'asile,Réussir votre parcours d'intégration,Modulation
"Du fait de l'accompagnement psychique et de la stratégie de soins, il s'agit également d'aider les patients à s'intégrer dans leur lieu actuel de vie et de s'adapter à un environnement différent de ce qu'ils ont connu jusqu'ici.","Apprendre à mieux communiquer et gagner en confiance
- Apprendre à s'intégrer plus facilement dans son lieu de vie",Compression
"Du fait de l'accompagnement psychique et de la stratégie de soins, il s'agit également d'aider les patients à s'intégrer dans leur lieu actuel de vie et de s'adapter à un environnement différent de ce qu'ils ont connu jusqu'ici.","Apprendre à mieux communiquer et gagner en confiance
- Apprendre à s'intégrer plus facilement dans son lieu de vie",Syntactic
"Du fait de l'accompagnement psychique et de la stratégie de soins, il s'agit également d'aider les patients à s'intégrer dans leur lieu actuel de vie et de s'adapter à un environnement différent de ce qu'ils ont connu jusqu'ici.","Apprendre à mieux communiquer et gagner en confiance
- Apprendre à s'intégrer plus facilement dans son lieu de vie",Modulation
"Du fait de l'accompagnement psychique et de la stratégie de soins, il s'agit également d'aider les patients à s'intégrer dans leur lieu actuel de vie et de s'adapter à un environnement différent de ce qu'ils ont connu jusqu'ici.","Apprendre à mieux communiquer et gagner en confiance
- Apprendre à s'intégrer plus facilement dans son lieu de vie",Omission
"Il s'agit aussi de les aider à se préparer psychologiquement aux diverses étapes de leur parcours, y compris aux rejets administratifs dont ils peuvent être l'objet.",Préparation et soutien psychologique pendant les différentes étapes de son parcours d'asile et d'intégration,Modulation
"Il s'agit aussi de les aider à se préparer psychologiquement aux diverses étapes de leur parcours, y compris aux rejets administratifs dont ils peuvent être l'objet.",Préparation et soutien psychologique pendant les différentes étapes de son parcours d'asile et d'intégration,Omission
"Il s'agit aussi de les aider à se préparer psychologiquement aux diverses étapes de leur parcours, y compris aux rejets administratifs dont ils peuvent être l'objet.",Préparation et soutien psychologique pendant les différentes étapes de son parcours d'asile et d'intégration,Substitution
Contact par mail uniquement,Prendre rendez-vous pour une consultation,Modulation
Contact par mail uniquement,Prendre rendez-vous pour une consultation,Explanation
kbuisson@example.com,"Pour prendre rendez-vous, vous pouvez envoyer un mail à kbuisson@example.com",Explanation
Connaître ses droits pour les faire valoir,Connaître ses droits et être accompagné,Explanation
"Des permanences d'information juridique reparties sur tout le territoire de la Charente-Maritime (17) : villes, zones rurales, quartiers prioritaires.","Ce sont des permanences juridiques gratuites et confidentielles sur
tout le territoire de la Charente-Maritime dans les domaines suivants :
- droit des étrangers (séjour, asile)
- droit de la famille
- droit civil et droit du travail.",Syntactic
"Des permanences d'information juridique reparties sur tout le territoire de la Charente-Maritime (17) : villes, zones rurales, quartiers prioritaires.","Ce sont des permanences juridiques gratuites et confidentielles sur
tout le territoire de la Charente-Maritime dans les domaines suivants :
- droit des étrangers (séjour, asile)
- droit de la famille
- droit civil et droit du travail.",Explanation
"Une information juridique accessible, confidentielle, individuelle et gratuite",S'informer pour accéder à ses droits,Compression
"Une information juridique accessible, confidentielle, individuelle et gratuite","S'informer pour accéder à ses droits
- Connaître ses droits et ses devoirs
- S'informer sur les démarches administratives en droit des étrangers (séjour, asile), droit de la famille (séparation, pension alimentaire, filiation. ) et droit du travail.",Syntactic
"Une information juridique accessible, confidentielle, individuelle et gratuite","S'informer pour accéder à ses droits
- Connaître ses droits et ses devoirs
- S'informer sur les démarches administratives en droit des étrangers (séjour, asile), droit de la famille (séparation, pension alimentaire, filiation. ) et droit du travail.",Explanation
Une information juridique généraliste sur divers domaines du droit,Rendez-vous individuels et conseils personnalisés,Compression
"Les juristes du CIDFF17 peuvent répondre à des demandes juridiques très variées (droit civil, droit du travail) avec des spécialités en droit de la famille et droit des étrangers droit de la famille : séparation, pension alimentaire, filiation, etc.","Pendant le rendez-vous, un juriste vous accompagne en fonction de votre situation personnelle et familiale. Vous pouvez être aidé et conseillé dans la réalisation de vos démarches.",Substitution
"Les juristes du CIDFF17 peuvent répondre à des demandes juridiques très variées (droit civil, droit du travail) avec des spécialités en droit de la famille et droit des étrangers droit de la famille : séparation, pension alimentaire, filiation, etc.","Pendant le rendez-vous, un juriste vous accompagne en fonction de votre situation personnelle et familiale. Vous pouvez être aidé et conseillé dans la réalisation de vos démarches.",Syntactic
Prendre rendez-vous en appelant le CIDFF17 ou directement les Point Justice concernés,Vous pouvez prendre rendez-vous par téléphone au 0449421491 ou contacter directement un Point Justice proche de votre domicile. Les coordonnées complètes sont sur la carte en bas de la fiche.,Explanation
Prendre rendez-vous en appelant le CIDFF17 ou directement les Point Justice concernés,Vous pouvez prendre rendez-vous par téléphone au 0449421491 ou contacter directement un Point Justice proche de votre domicile. Les coordonnées complètes sont sur la carte en bas de la fiche.,Syntactic
Prendre rendez-vous en appelant le CIDFF17 ou directement les Point Justice concernés,Vous pouvez prendre rendez-vous par téléphone au 0449421491 ou contacter directement un Point Justice proche de votre domicile. Les coordonnées complètes sont sur la carte en bas de la fiche.,Substitution
Mobilité Inclusive vallée de la Roya,Trouver des solutions pour vous déplacer,Transposition
Mobilité Inclusive vallée de la Roya,Trouver des solutions pour vous déplacer,Modulation
"Conseil en mobilité pour accompagner les publics de manière individuelle et par le biais d'ateliers collectifs (diagnostics, sensibilisation, identification de solutions …) avec Adèle Prévost divers toute la semaine sur la vallée de la Roya.",Un accompagnement personnalisé pour être autonome dans vos déplacements dans les Vallées de la Roya et de la Vésubie,Modulation
"Conseil en mobilité pour accompagner les publics de manière individuelle et par le biais d'ateliers collectifs (diagnostics, sensibilisation, identification de solutions …) avec Adèle Prévost divers toute la semaine sur la vallée de la Roya.",Un accompagnement personnalisé pour être autonome dans vos déplacements dans les Vallées de la Roya et de la Vésubie,Substitution
Pouvoir bouger,- Une présentation des différents modes de déplacement : vélos à assistance électrique...,Explanation
Pouvoir bouger,- Une présentation des différents modes de déplacement : vélos à assistance électrique...,Syntactic
